Year,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2
1987,19455.07851889441,132307.8076369932,819.0070658580875,1122.4747917679792,3350.6278371679336,1170.658221118646,2345.4457364341083
1988,22672.402365298665,155289.67382353893,873.6220606405944,1214.7825820879684,3832.524688012323,1255.1918654547885,1987.645348837209
1989,29808.58264496728,166082.3061542749,944.4864382626926,1429.7219259170236,4443.773088591729,1310.3485695606391,1931.2015503875966
1990,28895.113053319994,119712.12627600135,1015.2896752097677,1518.8704542240573,4722.873880942292,1301.3556286738137,1871.1240310077515
1991,37631.50515863746,175102.9271039072,1069.8675869903439,1746.769523711594,5616.821474009637,1299.1630640385501,1710.9980620155034
1992,40451.507787137925,219771.68380811394,1106.5781112123082,1910.2957512715263,6251.81687755222,1309.7832989906085,1612.8875968992243
1993,44483.33039239249,276318.9380519417,1139.7435850990746,2181.7670703142176,7219.126160723322,1338.0296980808423,1898.0135658914724
1994,45073.144068086905,262475.3592555394,1188.2083202532413,2006.4259659479505,7149.22556120752,1371.6889911143815,1856.8313953488368
1995,61838.18965587012,347176.157687302,1253.4362042018633,2477.5504351330737,8671.099545889914,1396.2696962050322,1874.9999999999995
1996,75863.6884383998,397968.0295569543,1316.175660175358,2512.944913734846,8967.277370146976,1430.1345421731257,1789.0019379844957
1997,100977.34069068384,486197.54170973104,1382.8015250339627,2762.7097823991153,10110.978517937787,1487.6551050263702,1406.007751937984
1998,129592.25231742462,420755.35259560123,1448.8435727489748,3174.945641798982,10882.1909402754,1583.494160763089,1394.37984496124
1999,156658.0490724665,581652.1994281592,1516.0468253839256,2912.878808860126,10980.87657892531,1705.0958509641573,1406.2499999999995
2000,142508.97770141574,527616.7101012832,1604.2777306076737,3398.0265555148762,12011.740919298774,1863.5429046843803,1329.6996124031002
2001,125622.00708807123,697192.7207278357,1658.8128232694276,3587.37075204697,13037.39331711463,1987.9538183243783,1339.631782945736
2002,98027.81676541301,672233.2213257791,1685.4420772839362,4129.65207797358,14620.609816379138,2178.021765143777,1682.1705426356584
2003,125824.38848080393,1290082.7750463025,1702.4374010144365,4145.151429849277,16421.339461371623,2391.7625582595547,2016.7151162790694
2004,139341.42061832585,1515718.252401901,1725.8397865037414,4331.297069544118,18120.278838832503,2717.9579359886584,2110.465116279069
2005,146077.8502787223,1575285.9797212954,1780.1892427244027,4455.498440599193,19080.360953680607,3085.143994750481,2485.465116279069
2006,168884.33934842583,1866241.3001758184,1864.3921939052668,4542.8708203458,20071.8644707598,3138.604887146245,3062.015503875968
2007,178147.19823435548,1695480.221209731,1945.716090060533,5006.694384484438,21044.261086407765,2969.143622016047,4039.486434108526
2008,113030.22131020659,935226.8900192876,1972.3979816222397,6013.104037797893,20299.22903469799,2612.9889040754115,4213.905038759689
2009,142344.87355944986,1379272.6174004453,1975.3668350641774,5344.6455830466175,24401.63208962236,2512.2850955542017,5268.895348837208
2010,163441.9386237224,1768779.204554331,1978.1016556824434,5796.959404879208,26697.94697184632,2408.8405812389296,6809.593023255812
2011,166871.5629679545,1518496.9471098932,1979.146884597306,6726.52126523437,29971.892533100086,2315.2454783711137,7628.391472868215
2012,193388.43092558492,1802911.4253035763,1980.8806172682134,6926.40468624756,32767.389935501258,2464.2542265129578,8062.015503875966
2013,255553.30808629587,2716626.935647429,1982.01130392455,6295.785406613258,32445.35559946095,2728.38974741739,5835.755813953487
2014,290115.4150110358,2759821.303924223,1982.6598180231942,6972.341867278899,35943.540911706434,2851.259014048218,5843.023255813951
2015,294115.79221836175,2505641.7618328016,1983.6914330520142,7061.887630939909,35404.08113512871,2999.377032806987,5135.65891472868
2016,328742.28230178286,2944129.070153542,1989.9622784101784,7110.653529157394,39484.21522880107,3158.5092629757296,5551.841085271316
2017,399768.63507184375,3399585.837306295,2008.5509140452634,7309.873866042513,43130.150175630675,3354.5553743084984,6254.844961240307
2018,382870.93740858353,2846813.180160291,2047.4425902580256,7308.65367370163,41720.044556120476,3506.0992753098667,6196.705426356587
2019,502371.3891933326,3196117.1573659587,2089.6706841935793,8012.88855387813,48081.41923137955,3635.3064240895037,7378.875968992244
2020,592914.798590873,4306128.646119156,2097.0836036246787,8920.900883340859,53178.6206237197,4014.34603541072,9162.306201550384
2021,761710.8336171656,5240127.949462402,2098.027708992048,8526.950827206665,53675.013571389645,4771.637305137321,8818.313953488368
2022,624317.1968555079,4014986.0348780924,2140.5081359013857,7006.751406749976,45546.42735250748,5041.32275527473,8866.76356589147
2023,787018.5348353545,4222560.81288129,2249.0396351679806,7278.613361331874,49525.21394545577,5327.589475466338,10042.684108527128
2024,982817.816681076,4586545.554951658,2360.816905035829,7159.449348646148,50385.14777308099,5553.697703477917,12649.46705426356
